product,event,price,quantity_sold
Standard Case | iPhone 15 Pro Max,Cyber Monday,31.854305348131312,217
Standard Case | iPhone 15 Pro,Black Friday,57.78214378844623,181
Premium Case | iPhone 15 Pro Max,Black Friday,47.93972738151323,148
Premium Case | iPhone 15 Pro,Black Friday,41.93963178886665,166
Standard Case | iPhone 15 Pro Max,Black Friday,22.020838819909642,322
Standard Case | iPhone 15 Pro,Cyber Monday,22.01975341512912,200
Premium Case | iPhone 15 Pro Max,Black Friday,17.613762547568975,225
Premium Case | iPhone 15 Pro,Black Friday,53.97792655987208,129
Premium Case | iPhone 15 Pro Max,Black Friday,42.0501755284444,163
Standard Case | iPhone 15 Pro,No Promo,46.86326600082205,112
Premium Case | iPhone 15 Pro,Black Friday,15.92630224331111,133
Premium Case | iPhone 15 Pro Max,Black Friday,58.645943347289744,138
Standard Case | iPhone 15 Pro Max,Black Friday,52.45991883601898,264
Premium Case | iPhone 15 Pro,Cyber Monday,24.55525998052243,137
Premium Case | iPhone 15 Pro Max,Black Friday,23.18212352431953,189
Standard Case | iPhone 15 Pro,Black Friday,23.253202943404524,276
Standard Case | iPhone 15 Pro,Black Friday,28.690900933179197,210
Premium Case | iPhone 15 Pro,Black Friday,38.614039423450706,155
Premium Case | iPhone 15 Pro Max,Black Friday,34.43752583889521,191
Premium Case | iPhone 15 Pro,Black Friday,28.105311308911887,153
Premium Case | iPhone 15 Pro,No Promo,42.53338026250708,54
Premium Case | iPhone 15 Pro Max,Black Friday,21.277223729341884,159
Premium Case | iPhone 15 Pro Max,Black Friday,28.146509184084817,193
Standard Case | iPhone 15 Pro Max,No Promo,31.486282948216125,176
Premium Case | iPhone 15 Pro Max,Black Friday,35.52314928976662,143
Standard Case | iPhone 15 Pro,Black Friday,50.33291826268561,248
Premium Case | iPhone 15 Pro,Black Friday,23.98532019712619,167
Premium Case | iPhone 15 Pro,Black Friday,38.14054972861253,151
Standard Case | iPhone 15 Pro,No Promo,41.65865559879191,135
Premium Case | iPhone 15 Pro Max,Black Friday,17.090268572399896,218
Standard Case | iPhone 15 Pro,Cyber Monday,42.339518335564726,173
Standard Case | iPhone 15 Pro,Black Friday,22.673585565928118,263
Standard Case | iPhone 15 Pro Max,Black Friday,17.927321684337578,308
Standard Case | iPhone 15 Pro,Black Friday,57.699849176399994,217
Premium Case | iPhone 15 Pro,Black Friday,58.45344148835517,124
Standard Case | iPhone 15 Pro,Black Friday,51.37788066524075,207
Premium Case | iPhone 15 Pro,Cyber Monday,28.70761961280168,125
Premium Case | iPhone 15 Pro,Black Friday,19.395245130287275,187
Premium Case | iPhone 15 Pro,No Promo,45.79048619304706,42
Premium Case | iPhone 15 Pro Max,Black Friday,34.80686221828206,119
Standard Case | iPhone 15 Pro Max,Cyber Monday,20.491720568015047,264
Premium Case | iPhone 15 Pro,Cyber Monday,37.282960955007155,139
Premium Case | iPhone 15 Pro,Cyber Monday,16.547483450184828,106
Premium Case | iPhone 15 Pro Max,Cyber Monday,55.91941809354519,81
Premium Case | iPhone 15 Pro,Cyber Monday,26.645099172000762,149
Standard Case | iPhone 15 Pro,Black Friday,44.81350279592919,285
Standard Case | iPhone 15 Pro,Black Friday,29.026998424023493,256
Standard Case | iPhone 15 Pro Max,Black Friday,38.403060953001486,250
Premium Case | iPhone 15 Pro,No Promo,39.60196257044758,57
Premium Case | iPhone 15 Pro Max,Black Friday,23.318450498648716,217
Standard Case | iPhone 15 Pro,Cyber Monday,58.63130824940514,146
Premium Case | iPhone 15 Pro Max,Black Friday,49.880977051250156,134
Premium Case | iPhone 15 Pro Max,Black Friday,57.27745237038851,122
Standard Case | iPhone 15 Pro,Black Friday,55.2672307692442,184
Premium Case | iPhone 15 Pro Max,Black Friday,41.90549904649883,166
Standard Case | iPhone 15 Pro,Black Friday,56.48434057604026,243
Premium Case | iPhone 15 Pro Max,Black Friday,18.982162592336376,198
Standard Case | iPhone 15 Pro,Black Friday,23.81922880886153,252
Premium Case | iPhone 15 Pro,Black Friday,17.035228000974215,181
Standard Case | iPhone 15 Pro Max,Black Friday,29.639864884346895,233
Standard Case | iPhone 15 Pro,Black Friday,32.49047803602669,276
Standard Case | iPhone 15 Pro,Cyber Monday,27.210706429825315,214
Standard Case | iPhone 15 Pro Max,Black Friday,52.29318791183682,239
Standard Case | iPhone 15 Pro,Black Friday,31.053899701211517,345
Standard Case | iPhone 15 Pro,Black Friday,27.642052935932135,265
Premium Case | iPhone 15 Pro Max,Black Friday,39.42132374212118,154
Standard Case | iPhone 15 Pro Max,Black Friday,21.341590123864318,276
Premium Case | iPhone 15 Pro,Black Friday,51.098864133931784,158
Standard Case | iPhone 15 Pro,Black Friday,18.354778965589688,267
Standard Case | iPhone 15 Pro Max,Black Friday,59.40991214702328,187
Premium Case | iPhone 15 Pro Max,Black Friday,49.751014618349586,163
Premium Case | iPhone 15 Pro,Cyber Monday,23.942205669037758,131
Standard Case | iPhone 15 Pro Max,Cyber Monday,15.248495270562108,312
Premium Case | iPhone 15 Pro,Black Friday,51.695764280467536,155
Premium Case | iPhone 15 Pro,Black Friday,46.80858047314277,142
Premium Case | iPhone 15 Pro,Black Friday,47.80532256184443,168
Standard Case | iPhone 15 Pro,Black Friday,49.70716560086756,222
