product,event,price,quantity_sold
Standard Case | iPhone 15 Pro,Black Friday,31.854305348131312,260
Premium Case | iPhone 15 Pro,No Promo,57.78214378844623,24
Standard Case | iPhone 15 Pro Max,No Promo,47.93972738151323,147
Premium Case | iPhone 15 Pro Max,No Promo,41.93963178886665,127
Standard Case | iPhone 15 Pro,No Promo,22.020838819909642,140
Premium Case | iPhone 15 Pro,Black Friday,22.01975341512912,237
Standard Case | iPhone 15 Pro Max,No Promo,17.613762547568975,272
Premium Case | iPhone 15 Pro Max,No Promo,53.97792655987208,99
Standard Case | iPhone 15 Pro Max,No Promo,42.0501755284444,163
Premium Case | iPhone 15 Pro,Cyber Monday,46.86326600082205,85
Premium Case | iPhone 15 Pro Max,No Promo,15.92630224331111,79
Standard Case | iPhone 15 Pro Max,No Promo,58.645943347289744,163
Standard Case | iPhone 15 Pro,No Promo,52.45991883601898,58
Premium Case | iPhone 15 Pro Max,Black Friday,24.55525998052243,465
Standard Case | iPhone 15 Pro Max,No Promo,23.18212352431953,200
Premium Case | iPhone 15 Pro,No Promo,23.253202943404524,86
Premium Case | iPhone 15 Pro,No Promo,28.690900933179197,46
Premium Case | iPhone 15 Pro Max,No Promo,38.614039423450706,109
Standard Case | iPhone 15 Pro Max,No Promo,34.43752583889521,205
Premium Case | iPhone 15 Pro Max,No Promo,28.105311308911887,101
Premium Case | iPhone 15 Pro Max,Cyber Monday,42.53338026250708,311
Standard Case | iPhone 15 Pro Max,No Promo,21.277223729341884,147
Standard Case | iPhone 15 Pro Max,No Promo,28.146509184084817,206
Standard Case | iPhone 15 Pro,Cyber Monday,31.486282948216125,226
Standard Case | iPhone 15 Pro Max,No Promo,35.52314928976662,118
Premium Case | iPhone 15 Pro,No Promo,50.33291826268561,45
Premium Case | iPhone 15 Pro Max,No Promo,23.98532019712619,120
Premium Case | iPhone 15 Pro Max,No Promo,38.14054972861253,103
Premium Case | iPhone 15 Pro,Cyber Monday,41.65865559879191,121
Standard Case | iPhone 15 Pro Max,No Promo,17.090268572399896,259
Premium Case | iPhone 15 Pro,Black Friday,42.339518335564726,127
Premium Case | iPhone 15 Pro,No Promo,22.673585565928118,80
Standard Case | iPhone 15 Pro,No Promo,17.927321684337578,144
Premium Case | iPhone 15 Pro,No Promo,57.699849176399994,33
Premium Case | iPhone 15 Pro Max,No Promo,58.45344148835517,103
Premium Case | iPhone 15 Pro,No Promo,51.37788066524075,32
Premium Case | iPhone 15 Pro Max,Black Friday,28.70761961280168,394
Premium Case | iPhone 15 Pro Max,No Promo,19.395245130287275,150
Premium Case | iPhone 15 Pro Max,Cyber Monday,45.79048619304706,223
Standard Case | iPhone 15 Pro Max,No Promo,34.80686221828206,73
Standard Case | iPhone 15 Pro,Black Friday,20.491720568015047,471
Premium Case | iPhone 15 Pro Max,Black Friday,37.282960955007155,512
Premium Case | iPhone 15 Pro Max,Black Friday,16.547483450184828,281
Standard Case | iPhone 15 Pro Max,Black Friday,55.91941809354519,399
Premium Case | iPhone 15 Pro Max,Black Friday,26.645099172000762,542
Premium Case | iPhone 15 Pro,No Promo,44.81350279592919,60
Premium Case | iPhone 15 Pro,No Promo,29.026998424023493,66
Standard Case | iPhone 15 Pro,No Promo,38.403060953001486,64
Premium Case | iPhone 15 Pro Max,Cyber Monday,39.60196257044758,291
Standard Case | iPhone 15 Pro Max,No Promo,23.318450498648716,252
Premium Case | iPhone 15 Pro,Black Friday,58.63130824940514,88
Standard Case | iPhone 15 Pro Max,No Promo,49.880977051250156,127
Standard Case | iPhone 15 Pro Max,No Promo,57.27745237038851,127
Premium Case | iPhone 15 Pro,No Promo,55.2672307692442,25
Standard Case | iPhone 15 Pro Max,No Promo,41.90549904649883,168
Premium Case | iPhone 15 Pro,No Promo,56.48434057604026,40
Standard Case | iPhone 15 Pro Max,No Promo,18.982162592336376,220
Premium Case | iPhone 15 Pro,No Promo,23.81922880886153,73
Premium Case | iPhone 15 Pro Max,No Promo,17.035228000974215,142
Standard Case | iPhone 15 Pro,No Promo,29.639864884346895,65
Premium Case | iPhone 15 Pro,No Promo,32.49047803602669,71
Premium Case | iPhone 15 Pro,Black Friday,27.210706429825315,241
Standard Case | iPhone 15 Pro,No Promo,52.29318791183682,49
Premium Case | iPhone 15 Pro,No Promo,31.053899701211517,103
Premium Case | iPhone 15 Pro,No Promo,27.642052935932135,73
Standard Case | iPhone 15 Pro Max,No Promo,39.42132374212118,143
Standard Case | iPhone 15 Pro,No Promo,21.341590123864318,110
Premium Case | iPhone 15 Pro Max,No Promo,51.098864133931784,132
Premium Case | iPhone 15 Pro,No Promo,18.354778965589688,91
Standard Case | iPhone 15 Pro,No Promo,59.40991214702328,29
Standard Case | iPhone 15 Pro Max,No Promo,49.751014618349586,179
Premium Case | iPhone 15 Pro Max,Black Friday,23.942205669037758,429
Standard Case | iPhone 15 Pro,Black Friday,15.248495270562108,690
Premium Case | iPhone 15 Pro Max,No Promo,51.695764280467536,130
Premium Case | iPhone 15 Pro Max,No Promo,46.80858047314277,102
Premium Case | iPhone 15 Pro Max,No Promo,47.80532256184443,140
Premium Case | iPhone 15 Pro,No Promo,49.70716560086756,37
Premium Case | iPhone 15 Pro,Cyber Monday,18.332009328034065,262
Standard Case | iPhone 15 Pro Max,No Promo,31.130957784492267,200
Standard Case | iPhone 15 Pro Max,No Promo,20.21410767863084,169
Standard Case | iPhone 15 Pro,No Promo,53.83965416440171,42
Standard Case | iPhone 15 Pro Max,No Promo,43.04841570724011,196
Premium Case | iPhone 15 Pro Max,No Promo,29.890411118369215,124
Premium Case | iPhone 15 Pro Max,No Promo,17.860125762871064,138
Premium Case | iPhone 15 Pro,No Promo,28.9942044772048,53
Premium Case | iPhone 15 Pro Max,No Promo,29.633249491203618,145
Standard Case | iPhone 15 Pro,No Promo,47.83227802521289,81
Premium Case | iPhone 15 Pro Max,No Promo,43.69008621098459,91
Premium Case | iPhone 15 Pro Max,No Promo,54.924573415934695,104
Standard Case | iPhone 15 Pro,No Promo,36.249671632287715,102
Standard Case | iPhone 15 Pro Max,No Promo,20.381741067223576,200
Standard Case | iPhone 15 Pro Max,No Promo,47.09601542503478,170
Standard Case | iPhone 15 Pro,No Promo,49.23532718776038,43
Premium Case | iPhone 15 Pro,No Promo,40.25747389062733,52
Premium Case | iPhone 15 Pro Max,Black Friday,49.69352309795524,368
Standard Case | iPhone 15 Pro,No Promo,37.220801836397584,92
Premium Case | iPhone 15 Pro Max,No Promo,38.52297732218973,151
Premium Case | iPhone 15 Pro,No Promo,34.23934582613474,87
Premium Case | iPhone 15 Pro Max,No Promo,16.143860703484282,170
Standard Case | iPhone 15 Pro,No Promo,19.855114214698702,134
Premium Case | iPhone 15 Pro Max,No Promo,16.41431335590304,158
Standard Case | iPhone 15 Pro Max,Cyber Monday,43.63846850687012,375
Premium Case | iPhone 15 Pro,No Promo,29.1460191484347,70
Premium Case | iPhone 15 Pro,No Promo,37.885681102411624,48
Premium Case | iPhone 15 Pro,No Promo,55.84049132667418,32
Standard Case | iPhone 15 Pro,Black Friday,26.21815031169937,466
Premium Case | iPhone 15 Pro,No Promo,33.467231536603336,46
Standard Case | iPhone 15 Pro Max,Black Friday,48.99980123443719,658
Standard Case | iPhone 15 Pro,No Promo,25.29591744712301,136
Standard Case | iPhone 15 Pro Max,Black Friday,18.464095942295685,710
Premium Case | iPhone 15 Pro Max,No Promo,28.038815381119562,78
Premium Case | iPhone 15 Pro Max,Black Friday,22.2549579264302,442
Premium Case | iPhone 15 Pro Max,No Promo,56.83639435541579,128
Premium Case | iPhone 15 Pro Max,Black Friday,51.365417080398764,375
Standard Case | iPhone 15 Pro Max,No Promo,43.503169042969056,129
Standard Case | iPhone 15 Pro,No Promo,54.215726558447294,43
Standard Case | iPhone 15 Pro,No Promo,51.165243460460154,61
Premium Case | iPhone 15 Pro,No Promo,23.395652649871614,86
Standard Case | iPhone 15 Pro Max,No Promo,55.165154932049,137
Premium Case | iPhone 15 Pro Max,No Promo,39.270400886204285,112
Standard Case | iPhone 15 Pro Max,No Promo,51.334806982382815,137
Premium Case | iPhone 15 Pro,No Promo,55.324108496557194,25
Premium Case | iPhone 15 Pro,Black Friday,29.310156373733875,305
Standard Case | iPhone 15 Pro Max,No Promo,19.952336603745454,191
Standard Case | iPhone 15 Pro Max,Cyber Monday,25.257082314387375,603
Standard Case | iPhone 15 Pro Max,No Promo,34.219850488181535,231
Standard Case | iPhone 15 Pro,No Promo,51.81066446651219,61
Premium Case | iPhone 15 Pro Max,Black Friday,53.732876246535454,336
Standard Case | iPhone 15 Pro Max,No Promo,15.312845873903582,231
Standard Case | iPhone 15 Pro Max,No Promo,37.983628615990455,170
Standard Case | iPhone 15 Pro Max,No Promo,33.783495141695056,146
Premium Case | iPhone 15 Pro,No Promo,24.994851471182862,79
Premium Case | iPhone 15 Pro,No Promo,20.393941530015727,64
Standard Case | iPhone 15 Pro,Cyber Monday,30.192682713163258,292
Premium Case | iPhone 15 Pro Max,Cyber Monday,57.43093667606336,229
Standard Case | iPhone 15 Pro,No Promo,29.544131940933987,100
Premium Case | iPhone 15 Pro Max,No Promo,38.34557797845147,129
Premium Case | iPhone 15 Pro,No Promo,46.635853150283005,38
Premium Case | iPhone 15 Pro,No Promo,31.363332107068228,69
Premium Case | iPhone 15 Pro,No Promo,58.73019372244323,26
Standard Case | iPhone 15 Pro,No Promo,58.310128272395005,50
Standard Case | iPhone 15 Pro Max,No Promo,26.330203312141386,140
Standard Case | iPhone 15 Pro Max,Black Friday,37.376182765157346,617
Premium Case | iPhone 15 Pro,No Promo,28.539523941754634,93
Standard Case | iPhone 15 Pro Max,No Promo,27.81782224698604,151
Standard Case | iPhone 15 Pro Max,No Promo,16.659912630953976,182
Standard Case | iPhone 15 Pro,No Promo,42.43039502909536,73
Premium Case | iPhone 15 Pro Max,No Promo,37.62055604529877,128
Premium Case | iPhone 15 Pro,Cyber Monday,17.31654380624952,247
Premium Case | iPhone 15 Pro,No Promo,27.539090890647515,76
Standard Case | iPhone 15 Pro,Black Friday,55.87196486849942,181
Standard Case | iPhone 15 Pro,No Promo,25.78028508001376,130
Standard Case | iPhone 15 Pro Max,No Promo,21.520269244105037,218
Premium Case | iPhone 15 Pro,No Promo,37.025374212490334,50
Premium Case | iPhone 15 Pro Max,No Promo,59.35427043497703,112
Standard Case | iPhone 15 Pro,Black Friday,25.892487218017518,514
Premium Case | iPhone 15 Pro Max,Cyber Monday,45.246099633264535,278
Premium Case | iPhone 15 Pro Max,No Promo,49.27288268979229,88
Premium Case | iPhone 15 Pro,No Promo,25.693689479657984,89
Premium Case | iPhone 15 Pro,No Promo,47.76973568753368,38
Standard Case | iPhone 15 Pro,Cyber Monday,31.550240972366396,128
Premium Case | iPhone 15 Pro,No Promo,43.453762376711076,51
Premium Case | iPhone 15 Pro,No Promo,43.50883698424026,39
Premium Case | iPhone 15 Pro,No Promo,39.10986078336413,49
Premium Case | iPhone 15 Pro Max,No Promo,19.063039652448374,158
Standard Case | iPhone 15 Pro,No Promo,52.58861230151571,52
Standard Case | iPhone 15 Pro Max,No Promo,29.435102923728113,212
Premium Case | iPhone 15 Pro Max,Cyber Monday,23.39333296799344,325
Premium Case | iPhone 15 Pro,No Promo,16.834881369964375,103
Premium Case | iPhone 15 Pro Max,No Promo,41.59018244347088,112
Premium Case | iPhone 15 Pro,Cyber Monday,45.49039628290271,120
Premium Case | iPhone 15 Pro,No Promo,15.746452301753527,108
Premium Case | iPhone 15 Pro Max,Black Friday,38.04418762346764,350
Standard Case | iPhone 15 Pro,No Promo,25.192309883907207,132
Premium Case | iPhone 15 Pro,No Promo,44.032775568425244,39
Standard Case | iPhone 15 Pro,Black Friday,22.846489305224615,471
Standard Case | iPhone 15 Pro Max,No Promo,46.09219821461097,169
Premium Case | iPhone 15 Pro,No Promo,32.40309058352418,82
Standard Case | iPhone 15 Pro,No Promo,57.152849493153056,42
Standard Case | iPhone 15 Pro,No Promo,21.1884424865697,113
Standard Case | iPhone 15 Pro Max,No Promo,30.347985797261632,183
Standard Case | iPhone 15 Pro,No Promo,20.106308455826507,117
Standard Case | iPhone 15 Pro,Cyber Monday,56.61121282253532,130
Standard Case | iPhone 15 Pro Max,No Promo,54.48027090214415,98
Premium Case | iPhone 15 Pro,No Promo,26.607373247182004,56
Standard Case | iPhone 15 Pro,No Promo,44.69928207153806,49
Standard Case | iPhone 15 Pro,Black Friday,51.77499900905471,215
Standard Case | iPhone 15 Pro,No Promo,39.98403652197581,96
Premium Case | iPhone 15 Pro Max,Cyber Monday,38.83427602602029,298
Standard Case | iPhone 15 Pro Max,No Promo,25.883353090520323,186
Premium Case | iPhone 15 Pro Max,No Promo,19.189624551265464,150
Standard Case | iPhone 15 Pro Max,No Promo,55.374709107899704,177
Premium Case | iPhone 15 Pro,No Promo,55.51881257234987,25
Premium Case | iPhone 15 Pro,No Promo,43.48956557729706,46
Standard Case | iPhone 15 Pro,No Promo,30.25634059719153,112
Standard Case | iPhone 15 Pro Max,Black Friday,30.714430857569738,708
Premium Case | iPhone 15 Pro,No Promo,47.668005549160775,40
Standard Case | iPhone 15 Pro Max,No Promo,55.36996169786597,172
Premium Case | iPhone 15 Pro,No Promo,54.91888909193028,14
Premium Case | iPhone 15 Pro Max,No Promo,50.09439956359307,123
Premium Case | iPhone 15 Pro,No Promo,43.891424076942954,38
Premium Case | iPhone 15 Pro Max,No Promo,18.786298424777197,94
Premium Case | iPhone 15 Pro,No Promo,22.27329213425762,88
Standard Case | iPhone 15 Pro,No Promo,55.43493848371857,59
Premium Case | iPhone 15 Pro Max,No Promo,42.289307684681546,114
Premium Case | iPhone 15 Pro,No Promo,15.413867322748334,115
Standard Case | iPhone 15 Pro,Black Friday,19.566219428971444,588
Premium Case | iPhone 15 Pro Max,Black Friday,44.85757960986251,508
Standard Case | iPhone 15 Pro,No Promo,15.22777127307984,190
Standard Case | iPhone 15 Pro Max,Black Friday,22.23636231378744,804
Standard Case | iPhone 15 Pro Max,No Promo,39.69302052149638,170
Premium Case | iPhone 15 Pro Max,No Promo,46.135283896171195,77
Premium Case | iPhone 15 Pro,No Promo,44.338256677617025,41
Premium Case | iPhone 15 Pro Max,No Promo,25.092118925725188,116
Standard Case | iPhone 15 Pro,No Promo,47.04806496063912,84
Premium Case | iPhone 15 Pro,Cyber Monday,25.676208937356,176
Standard Case | iPhone 15 Pro Max,No Promo,29.642986417167048,190
Premium Case | iPhone 15 Pro,No Promo,48.592113230311085,42
Standard Case | iPhone 15 Pro Max,No Promo,44.23348045712466,162
Premium Case | iPhone 15 Pro,Cyber Monday,53.215053472238004,113
Premium Case | iPhone 15 Pro,No Promo,44.592580153515456,37
Premium Case | iPhone 15 Pro,No Promo,40.573887150096226,50
Standard Case | iPhone 15 Pro,No Promo,19.215364552264163,109
Standard Case | iPhone 15 Pro,No Promo,31.54721113767451,66
Premium Case | iPhone 15 Pro Max,Cyber Monday,26.934106545677643,301
Premium Case | iPhone 15 Pro Max,Cyber Monday,25.97953395205876,344
Standard Case | iPhone 15 Pro Max,No Promo,58.785474963860054,126
Standard Case | iPhone 15 Pro,Cyber Monday,32.68939761000422,189
Standard Case | iPhone 15 Pro Max,No Promo,55.1420949829701,103
Premium Case | iPhone 15 Pro Max,Black Friday,43.401238169876834,401
Standard Case | iPhone 15 Pro Max,No Promo,50.76650865937418,105
